"ID","goal","enddate","startdate","coinNum","teamSize","country_region","categories","overallrating","ratingTeam","ratingProduct","platform","acceptingCurrencyNum","whitepaper","video","socialMedia","GitHub","teamLinkedIn","teamPhotos","CEOPhoto","bitcoin.price","continent_region","duration"
841,"Y",2018-03-22,2018-03-01,1e+08,10,"Seychelles","Cryptocurrency,Investment,Platform,Smart Contract",4.1,4.2,3.8,"Ethereum","1",1,1,3,1,0.9,1,0,9508.503596,"Africa",21
842,"Y",2018-02-14,2018-01-30,2e+07,22,"Singapore","Platform,Business services,Artificial Intelligence,Big Data",2.6,3.1,3.1,"Ethereum","6",1,1,0,0,0.79,0.26,1,8680.320618,"Asia",15
843,"Y",2017-10-26,2017-08-10,2.7e+07,11,"Poland","Cryptocurrency",3,0,0,"Ethereum","1",1,1,0,0,0,1,1,4492.224102,"Europe",77
844,"Y",2017-12-01,2017-11-01,2.4e+07,17,"Germany","Entertainment",3.8,4,3.7,"unknown","2",1,1,3,0,0.76,0.94,0,7915.148028,"Europe",30
845,"N",2018-01-31,2018-01-01,0,3,"UK","Platform",1.5,0,0,"Ethereum","1",0,0,0,0,0,1,0,13085.55809,"Europe",30
846,"N",2018-06-01,2017-11-17,2e+08,5,"Chile","Real estate",1.6,2,1.6,"unknown","2",0,0,0,0,1,1,0,10447.983,"Americas",196
847,"N",2018-05-16,2018-04-16,1.5e+08,11,"Belize","Platform",2.5,4,4,"Ethereum","1",1,1,0,1,0.91,1,1,8976.416772,"Americas",30
848,"Y",2018-05-04,2018-04-19,8e+07,12,"Malta","Communication",3,0,0,"Ethereum","2",1,1,0,0,0.92,1,1,9149.282471,"Europe",15
849,"N",2017-11-29,2017-11-08,5e+07,11,"Colombia","Education,Platform",3.5,4.4,3.4,"Ethereum","1",1,1,0,1,1,1,1,7916.014537,"Americas",21
850,"Y",2018-01-14,2018-01-14,6e+09,67,"Cayman Islands","Business services",3.5,4,4,"Ethereum","unknown",1,1,0,1,0.18,1,0,13772,"Americas",0
